time,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.340000,0.079885,0.123513,0.171317,0.125200,0.234322,0.171544,0.194531,0.527962,0.781908,1.089085,0.802153,1.498540,1.091180,1.272345,3.221797,-2.143597,-4.035410,-7.561249,-15.204997,-1.429942,12.391949,2.193808,-24.396773,0.688839,-5.281498,0.296288,0.063549,-0.030460
0.360000,0.090584,0.139271,0.193430,0.141404,0.264779,0.193874,0.219778,0.535816,0.794997,1.110029,0.801106,1.524720,1.128879,1.270251,-2.959198,4.052043,-3.242377,-12.378730,-10.046163,-8.325348,15.507954,1.505446,-26.405963,0.688839,-5.972574,0.107399,0.096043,-0.061603
0.380000,0.101378,0.155147,0.215642,0.157733,0.295352,0.216260,0.245152,0.540179,0.788016,1.103746,0.812625,1.534144,1.140398,1.248259,-0.528299,0.179850,-0.033682,0.052296,12.889542,13.503278,-9.509264,2.355775,-25.667893,1.050909,-5.822340,0.240733,-0.109756,-0.051222
0.400000,0.112096,0.170747,0.237581,0.173831,0.325550,0.238341,0.270168,0.531453,0.774926,1.083849,0.805295,1.474454,1.071283,1.243023,-2.033019,1.529246,-5.538968,7.232850,-20.791760,-7.904226,-4.593374,2.558235,-30.055306,0.719012,-7.024211,0.174066,-0.044766,-0.082365
0.420000,0.122512,0.185938,0.258828,0.189450,0.354794,0.259763,0.294340,0.507891,0.741765,1.034631,0.765501,1.411622,1.033584,1.179144,-4.758219,4.975043,-5.820443,-3.314124,-28.990829,-13.889644,13.169122,2.801186,-27.554071,0.960391,-6.122808,0.207399,-0.066429,-0.061603
0.440000,0.132475,0.200284,0.279009,0.204256,0.382563,0.280050,0.317281,0.484329,0.696386,0.975988,0.706858,1.332035,1.006357,1.117360,0.141740,-2.976033,3.437647,-6.609702,-11.456678,-3.294326,-9.590316,2.598727,-31.408434,1.262116,-7.535007,0.162955,0.020223,-0.051222
0.460000,0.141749,0.213596,0.297708,0.217986,0.408277,0.298807,0.338418,0.441568,0.630064,0.893260,0.642979,1.237788,0.910015,0.992743,-2.789852,-3.211526,0.860121,-15.952609,19.074590,3.542033,-1.891188,2.274792,-28.989206,0.900046,-6.573509,0.107399,0.096043,0.000684
0.480000,0.150172,0.225538,0.314551,0.230349,0.431393,0.315685,0.357409,0.391826,0.562869,0.784351,0.578053,1.066047,0.783304,0.905826,-5.836473,-4.216576,-7.862783,-3.437588,-22.041912,2.429520,-9.320461,3.206105,-33.089592,1.654358,-7.174445,0.262955,0.052717,-0.196558
0.500000,0.157537,0.235944,0.329172,0.241074,0.451461,0.330268,0.373809,0.337721,0.470366,0.664970,0.483805,0.929911,0.678584,0.737227,-4.422499,-8.487457,-11.723437,-9.438443,-12.517593,19.297918,-31.340236,1.991348,-30.629361,1.171598,-6.964118,0.162955,0.226021,-0.082365
0.520000,0.163945,0.244863,0.341775,0.250300,0.468700,0.342778,0.387799,0.320268,0.440696,0.628319,0.459720,0.834616,0.633555,0.711047,4.391722,-4.877362,4.104261,4.914174,-0.436652,15.096851,20.722519,3.206105,-29.768279,1.624185,-6.453322,0.185177,0.020223,-0.040841
0.540000,0.169988,0.253292,0.353669,0.258958,0.485001,0.354558,0.400943,0.322013,0.438078,0.624130,0.454484,0.878599,0.638791,0.677537,0.498965,-1.268557,-1.946471,-3.999617,9.718849,25.181911,-0.030477,2.922662,-22.510596,1.292288,-4.109673,0.207399,0.193527,-0.071984
0.560000,0.176370,0.262026,0.366176,0.268039,0.502135,0.366924,0.414724,0.318523,0.438950,0.620988,0.455531,0.831475,0.596903,0.675442,1.910135,-1.272172,-4.805104,-1.131465,-12.190422,-30.028510,-0.226153,3.408565,-21.198472,1.443150,-3.148176,0.251844,0.182695,0.000684
0.580000,0.182714,0.270845,0.378625,0.277146,0.519146,0.379210,0.428392,0.317650,0.444186,0.622035,0.456578,0.862891,0.635649,0.676490,-0.008346,-0.565888,4.240234,-0.589606,0.621595,31.931876,6.787021,3.975451,-24.724804,1.654358,-4.650515,0.240733,0.161032,-0.030460
0.600000,0.189045,0.279784,0.391040,0.286259,0.536032,0.391366,0.441927,0.315905,0.445932,0.617847,0.449248,0.854513,0.588525,0.686962,1.809814,1.480361,2.257137,-6.166397,5.703529,-15.248328,25.710269,4.380370,-24.683800,1.654358,-4.229860,0.218510,0.269347,-0.040841
0.620000,0.195394,0.288695,0.403436,0.295318,0.552809,0.403460,0.455307,0.318523,0.440696,0.618894,0.457625,0.850324,0.594808,0.661829,0.895608,-1.955869,3.196421,8.124110,8.276254,-19.799030,-16.234839,4.501846,-25.462874,2.046599,-4.380094,0.351844,0.150201,-0.051222
0.640000,0.201759,0.297567,0.415807,0.304367,0.569500,0.415463,0.468596,0.322886,0.440696,0.617847,0.442965,0.842994,0.618894,0.662876,4.983819,0.985509,-1.716612,-2.842201,7.315079,29.722529,16.348323,3.975451,-25.421870,1.714702,-4.560375,0.196288,0.106875,0.011065
0.660000,0.208141,0.306370,0.428164,0.313349,0.586101,0.427380,0.481743,0.322886,0.434587,0.617847,0.447153,0.848230,0.613658,0.634602,3.603802,1.322097,-0.347755,-1.125851,13.857144,27.971634,-31.344365,3.246597,-20.870441,1.473323,-3.328457,0.185177,0.204358,0.062971
0.680000,0.214505,0.315100,0.440487,0.322284,0.602592,0.439219,0.494798,0.316777,0.434587,0.612611,0.446106,0.830428,0.604233,0.657640,-2.229219,-3.870695,-0.519482,-1.623652,-4.563151,29.430084,10.491334,4.177911,-23.084650,1.684530,-3.508737,0.151844,0.258516,-0.009697
0.700000,0.220827,0.323926,0.452769,0.331229,0.619015,0.450950,0.507705,0.315032,0.441568,0.609469,0.445059,0.803201,0.607375,0.656593,1.915123,2.580182,-1.038826,-7.047772,-10.455625,37.015879,28.971908,4.947257,-26.651986,2.227634,-4.440188,0.285177,0.301842,-0.123890
