time,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,ddq0,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.181000,-0.260900,-0.957042,-0.055611,1.424953,0.101274,-0.482738,0.145078,0.000000,0.000000,-0.001047,-0.001047,-0.003142,-0.003142,-0.412596,0.000000,-0.089176,-0.779412,-0.901316,-0.000244,-0.685349,-40.880965,2.963154,-18.861252,-2.117198,-6.513416,-0.081490,-0.824635,-0.155034
0.191000,-0.260900,-0.957042,-0.055622,1.424941,0.101246,-0.482767,0.141652,0.000000,-0.000873,0.000000,-0.001047,-0.003142,-0.004189,-0.357094,0.000000,-0.103368,0.779412,1.663690,-0.105309,-1.885983,35.811690,2.963154,-16.852062,-2.207716,-5.912480,-0.059267,-0.835467,-0.134271
0.201000,-0.260899,-0.957056,-0.055632,1.424913,0.101213,-0.482798,0.137823,0.000000,-0.001745,0.000000,-0.003142,-0.003142,-0.002094,-0.363378,0.000000,-0.663635,0.903100,-0.121709,-0.000001,-0.075047,31.264356,2.720202,-14.801869,-2.147371,-4.920936,-0.048156,-0.824635,-0.113509
0.211000,-0.260899,-0.957081,-0.055645,1.424885,0.101181,-0.482831,0.133993,0.000000,-0.001745,0.000000,-0.001047,-0.003142,-0.002094,-0.371755,-0.089175,0.089406,1.695420,0.246060,-0.107012,1.653163,19.201320,2.841678,-16.113993,-2.026681,-5.461778,-0.037045,-0.835467,-0.144652
0.221000,-0.260897,-0.957094,-0.055655,1.424873,0.101151,-0.482862,0.130147,0.000000,0.000000,0.000000,0.000000,-0.003142,-0.000000,-0.386416,-0.000231,0.014194,0.014737,0.916048,-0.903376,0.843349,2.488499,2.882170,-17.631136,-2.056854,-6.273042,-0.014823,-0.889624,-0.165415
0.231000,-0.260898,-0.957089,-0.055662,1.424869,0.101119,-0.482892,0.126297,0.000000,0.000000,0.000000,0.000000,-0.002094,-0.002094,-0.402124,-0.000000,-0.651191,0.016721,0.779374,0.888478,-0.779379,-15.837217,3.125121,-18.492217,-2.237888,-6.273042,-0.048156,-0.889624,-0.103128
0.241000,-0.260897,-0.957084,-0.055668,1.424858,0.101087,-0.482921,0.122437,0.000000,0.000000,0.000000,-0.002094,-0.003142,-0.002094,-0.406313,-0.000000,-0.000000,0.107010,-1.012480,-0.901396,0.134059,-23.047956,3.287089,-17.590132,-2.177543,-6.002620,-0.081490,-0.900456,-0.123890
0.251000,-0.260898,-0.957083,-0.055675,1.424842,0.101055,-0.482951,0.118577,0.000000,0.000000,0.000000,-0.001047,-0.003142,-0.002094,-0.409454,-0.000000,-0.000000,0.029386,0.792011,-0.000315,0.794377,-31.359395,3.084630,-17.221097,-2.177543,-5.942527,-0.025934,-0.770478,-0.123890
0.261000,-0.260899,-0.957081,-0.055681,1.424828,0.101024,-0.482982,0.114709,0.000000,0.000000,0.000000,-0.001047,-0.002094,-0.002094,-0.408407,-0.000000,-0.649478,0.000010,-0.092040,0.108989,0.766905,-33.498930,3.206105,-18.041174,-2.298233,-5.972574,-0.081490,-0.824635,-0.134271
0.271000,-0.260900,-0.957076,-0.055686,1.424817,0.100995,-0.483011,0.110817,0.000000,0.000000,-0.001047,-0.001047,-0.002094,-0.002094,-0.414690,-0.000000,-0.000004,-0.888682,0.657671,0.674942,-0.566815,-34.337116,3.246597,-18.205190,-2.237888,-6.122808,-0.114823,-0.813804,-0.123890
0.281000,-0.260900,-0.957074,-0.055695,1.424804,0.100965,-0.483041,0.106923,0.000000,0.000000,-0.001047,0.000000,-0.002094,-0.002094,-0.412596,-0.000000,-0.000000,-0.874024,0.916089,0.888716,-0.764642,-33.233543,2.882170,-17.180093,-2.147371,-5.762246,-0.125934,-0.835467,-0.134271
0.291000,-0.260901,-0.957080,-0.055706,1.424782,0.100935,-0.483070,0.103032,0.000000,-0.000873,0.000000,-0.001047,-0.004189,-0.002094,-0.404218,-0.000000,-0.661989,0.779417,0.796442,-0.918385,-1.453510,-30.148280,3.044138,-16.237004,-2.207716,-5.281498,-0.048156,-0.802972,-0.103128
0.301000,-0.260901,-0.957089,-0.055714,1.424759,0.100907,-0.483097,0.099127,0.000000,0.000000,0.000000,-0.001047,-0.003142,-0.002094,-0.401077,-0.000000,0.663670,0.214065,0.107335,-0.016433,-0.672043,-24.065872,3.084630,-16.606039,-2.237888,-5.762246,-0.059267,-0.846298,-0.134271
0.311000,-0.260901,-0.957094,-0.055722,1.424746,0.100879,-0.483124,0.095216,0.000000,0.000000,0.000000,-0.002094,-0.002094,-0.002094,-0.396888,-0.000000,0.000004,0.214097,-1.012448,0.109028,0.655654,-17.243412,3.044138,-17.672140,-2.388751,-6.152854,-0.081490,-0.835467,-0.092747
0.321000,-0.260901,-0.957093,-0.055731,1.424738,0.100850,-0.483149,0.091291,0.000000,0.000000,0.000000,-0.001047,-0.003142,-0.000000,-0.400029,-0.000004,0.000000,1.665757,0.659646,-1.683064,1.989451,-17.563653,2.801186,-18.246194,-2.328406,-6.423275,-0.081490,-0.813804,-0.123890
0.331000,-0.260902,-0.957091,-0.055737,1.424728,0.100822,-0.483175,0.087369,0.000000,0.000000,-0.001047,0.000000,-0.002094,-0.003142,-0.394793,-0.000000,0.000000,-2.554478,0.017269,0.014660,-0.918107,-15.587486,3.044138,-17.959167,-2.268061,-6.062714,-0.059267,-0.857130,-0.092747
0.341000,-0.260902,-0.957092,-0.055744,1.424714,0.100792,-0.483200,0.083436,0.000000,0.000000,0.000000,-0.001047,-0.003142,-0.002094,-0.397935,-0.000000,0.000000,0.014464,-0.779091,0.900793,-0.000516,-15.999936,3.125121,-17.549128,-2.177543,-5.942527,-0.070379,-0.759646,-0.103128
0.351000,-0.260902,-0.957093,-0.055754,1.424701,0.100761,-0.483224,0.079488,0.000000,0.000000,-0.002094,0.000000,-0.003142,-0.002094,-0.403171,-0.000000,0.000000,-1.548753,1.669798,0.010609,-0.107325,-19.664608,3.003646,-17.713144,-2.358578,-6.032667,-0.048156,-0.878793,-0.082365
0.361000,-0.260902,-0.957095,-0.055765,1.424688,0.100730,-0.483248,0.075541,0.000000,0.000000,-0.003142,-0.001047,-0.002094,-0.002094,-0.406313,-0.000000,0.000000,-2.907590,-0.792054,1.681004,-0.092318,-22.493232,3.003646,-17.262101,-2.328406,-6.212948,-0.037045,-0.824635,-0.123890
0.371000,-0.260902,-0.957101,-0.055772,1.424674,0.100697,-0.483272,0.071603,0.000000,-0.000873,-0.001047,-0.001047,-0.003142,-0.002094,-0.405265,-0.000000,-0.752846,-0.104765,0.685322,-0.123754,-0.079642,-24.078839,3.084630,-17.057082,-2.449095,-5.942527,-0.070379,-0.792141,-0.113509
0.381000,-0.260902,-0.957113,-0.055781,1.424656,0.100667,-0.483296,0.067652,0.000000,-0.000873,0.000000,-0.001047,-0.001047,-0.001047,-0.413643,-0.000000,0.087493,0.308909,0.657394,1.010399,1.682787,-29.284470,3.125121,-16.606039,-1.966336,-5.672106,-0.037045,-0.846298,-0.134271
0.391000,-0.260902,-0.957128,-0.055791,1.424638,0.100637,-0.483320,0.063699,0.000000,-0.000873,0.000000,-0.002094,-0.002094,-0.002094,-0.415737,-0.000000,0.013926,0.808765,-0.903659,0.871739,-0.121708,-29.424519,3.125121,-16.483028,-2.147371,-5.822340,-0.059267,-0.813804,-0.134271
