joint,Fv,Fc
0,5.7739717970e-01,2.6328659301e-01
1,-4.7626602173e-08,1.9432136562e-01
2,4.5861751678e-02,2.6473104570e-01
3,-1.8371493495e-08,3.4704317543e-01
4,1.5783155269e-02,1.5624082396e-01
5,1.0233286732e-07,4.3136681377e-01
6,3.4121346978e-02,1.0514159672e-01
