sample_idx,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0.001047,0,-0,-0,-0.75002100000000005,0.016709999999999999,-0,-0.796404,-0.10700900000000001
1,3.0000000000000001e-06,2.5999999999999998e-05,2.5999999999999998e-05,1.7e-05,1.2e-05,7.9999999999999996e-06,9.0000000000000002e-06,0.00087299999999999997,0.0052360000000000002,0.0052360000000000002,0.0031419999999999998,0.0020939999999999999,0.0020939999999999999,0.0020939999999999999,0.75284600000000002,0.78150299999999995,1.932857,0.12637999999999999,-0.66970399999999997,1.0104629999999999,0.92044599999999999
2,9.3999999999999994e-05,0.00030200000000000002,0.00037300000000000001,0.00024399999999999999,0.00040299999999999998,0.00025599999999999999,0.00029799999999999998,0.0095989999999999999,0.022689000000000001,0.030369,0.020944000000000001,0.039794000000000003,0.026179999999999998,0.029322000000000001,0.76902899999999996,2.2749830000000002,1.066333,1.9672890000000001,3.760195,2.1687509999999999,1.071207
3,0.00045899999999999999,0.001021,0.0013699999999999999,0.00092800000000000001,0.00167,0.00115,0.001292,0.027053000000000001,0.053233000000000003,0.071208999999999995,0.048170999999999999,0.096341999999999997,0.068068000000000004,0.071208999999999995,0.88874200000000003,1.314605,2.3384459999999998,0.97457099999999997,5.8888720000000001,3.7611279999999998,3.9034629999999999
4,0.00123,0.0024390000000000002,0.0032650000000000001,0.0022680000000000001,0.0042129999999999997,0.002996,0.0033470000000000001,0.049742000000000001,0.091630000000000003,0.12042799999999999,0.086916999999999994,0.152891,0.12252200000000001,0.129852,3.546592,6.1708749999999997,4.7050539999999996,0.120407,2.3766970000000001,1.642728,6.4393419999999999
5,0.00248,0.0046810000000000003,0.0062950000000000002,0.0044289999999999998,0.0082570000000000005,0.0059309999999999996,0.0066629999999999997,0.076794000000000001,0.139626,0.18640100000000001,0.12775800000000001,0.23352500000000001,0.19059000000000001,0.219911,3.5185379999999999,2.2243149999999998,8.1559830000000009,2.693597,2.7236509999999998,11.3451,20.455924
6,0.0043899999999999998,0.0079419999999999994,0.010727,0.0076400000000000001,0.014225,0.01027,0.011545,0.116937,0.19198599999999999,0.26389400000000002,0.18221200000000001,0.33405600000000002,0.23980799999999999,0.297404,5.1299630000000001,0.46909499999999998,4.9061269999999997,0.97082599999999997,-11.159036,-24.049970999999999,26.145914999999999
7,0.0070390000000000001,0.012344000000000001,0.016716999999999999,0.011972,0.022339999999999999,0.016188999999999999,0.018235999999999999,0.155334,0.246091,0.34138600000000002,0.24818599999999999,0.473333,0.33091399999999999,0.360236,0.83209200000000005,-0.24293100000000001,4.1087429999999996,7.3360859999999999,24.975404999999999,-17.678905,-13.606339999999999
8,0.010512000000000001,0.017956,0.02444,0.017597999999999999,0.032808999999999998,0.023857,0.026918999999999998,0.19809499999999999,0.30979600000000002,0.43772899999999998,0.30997000000000002,0.56548699999999996,0.454484,0.46390900000000002,3.0707149999999999,1.0884670000000001,8.4620739999999994,3.9173119999999999,-21.72054,41.706128,-29.951053000000002
9,0.014852000000000001,0.024851999999999999,0.033973000000000003,0.024548,0.045783999999999998,0.033343999999999999,0.037706000000000003,0.238237,0.37437300000000001,0.52464599999999995,0.37699100000000002,0.70581099999999997,0.51626799999999995,0.58014699999999997,-0.55093499999999995,1.739997,4.3979439999999999,-2.5230830000000002,-13.19075,-1.73492,-8.2717869999999998
10,0.020119999999999999,0.033099999999999997,0.045393000000000003,0.032878999999999999,0.061392000000000002,0.044762999999999997,0.050654999999999999,0.28623399999999999,0.44418600000000003,0.61470499999999995,0.44715300000000002,0.82728599999999997,0.60528000000000004,0.67753699999999994,5.5753349999999999,4.9204439999999998,4.482958,5.6784439999999998,0.50510699999999997,-7.7789070000000002,-24.408936000000001
11,0.026297000000000001,0.042745999999999999,0.058689999999999999,0.042626999999999998,0.079590999999999995,0.058118999999999997,0.065803,0.32899499999999998,0.52010800000000001,0.70895300000000006,0.51522100000000004,0.990649,0.73303799999999997,0.83042800000000006,1.8600859999999999,4.1550820000000002,2.9482620000000002,-2.413961,13.745571999999999,18.546831999999998,16.808865999999998
12,0.03338,0.053651999999999998,0.073816000000000007,0.053689000000000001,0.10031,0.073302000000000006,0.083023,0.37873600000000002,0.57246799999999998,0.80005899999999996,0.58433599999999997,1.1016520000000001,0.79168099999999997,0.88697599999999999,2.7673450000000002,1.665265,2.9587539999999999,9.3310359999999992,-3.8591530000000001,5.7450450000000002,-1.2334750000000001
